Year,Month,ParentSKU,Net Sales calculated
2018,12,F0094,2113018
2018,12,F0098,1904813
2018,12,F0099,2865533
2018,12,F0101,1286653
2018,12,F0112,19365
2018,12,F0113,915156
2018,12,F0140,38838
2018,12,F0147,319838
2018,12,F0167,973826
2018,12,F0168,378523
2018,12,F0193,2729565
2018,12,F0194,1976035
2018,12,F0196,798064
2018,12,F0199,554326
2018,12,F0201,1470480
2018,12,F0202,291786
2018,12,F0204,1194796
2018,12,F0206,279021
2018,12,F0207,750893
2018,12,F0210,590325
2018,12,F0212,1278840
2018,12,F0214,1399132
2018,12,F0215,1290299
2018,12,F0216,1475369
2018,12,F0217,1048396
2018,12,F0218,1104474
2018,12,F0232,934272
2018,12,F0233,768399
2018,12,F0306,2079804
2018,12,F0307,1924188
2018,12,F0311,1436451
2018,12,F0319,1063478
2018,12,F0320,787594
2018,12,F0321,961437
2018,12,F0328,1029998
2018,12,F0365,670917
2018,12,F0367,1029731
2018,12,F0369,762761
2018,12,F0371,1064550
2018,12,F0387,1434711
2018,12,F0469,2455699
2018,12,F0470,2337347
2018,12,T0270,677556
2019,1,F0033,315263
2019,1,F0034,2319615
2019,1,F0089,4724311
2019,1,F0091,2083551
2019,1,F0094,2134873
2019,1,F0098,2279013
2019,1,F0099,3678872
2019,1,F0101,1061805
2019,1,F0112,3584
2019,1,F0113,887223
2019,1,F0140,22265
2019,1,F0147,379564
2019,1,F0167,977817
2019,1,F0168,319682
2019,1,F0193,3029170
2019,1,F0194,1598058
2019,1,F0196,724522
2019,1,F0199,633513
2019,1,F0201,673678
2019,1,F0202,1271047
2019,1,F0204,988706
2019,1,F0206,839484
2019,1,F0207,646328
2019,1,F0210,640793
2019,1,F0212,2098965
2019,1,F0214,1557513
2019,1,F0215,2015788
2019,1,F0216,1062878
2019,1,F0217,369760
2019,1,F0218,698882
2019,1,F0232,741888
2019,1,F0233,538354
2019,1,F0306,3225867
2019,1,F0307,2473438
2019,1,F0311,1956358
2019,1,F0319,1851370
2019,1,F0320,924203
2019,1,F0321,1269599
2019,1,F0328,771032
2019,1,F0365,741972
2019,1,F0367,1004636
2019,1,F0369,830231
2019,1,F0371,908597
2019,1,F0387,1612690
2019,1,F0469,2257445
2019,1,F0470,1582780
2019,1,T0270,162414
2019,2,F0033,4088837
2019,2,F0034,4519160
2019,2,F0089,5723523
2019,2,F0091,1655196
2019,2,F0094,1849903
2019,2,F0098,1688715
2019,2,F0099,3386843
2019,2,F0101,854196
2019,2,F0112,492660
2019,2,F0113,580660
2019,2,F0140,407011
2019,2,F0147,278571
2019,2,F0167,772430
2019,2,F0168,249782
2019,2,F0193,1467887
2019,2,F0194,1402572
2019,2,F0196,528065
2019,2,F0199,482016
2019,2,F0201,651103
2019,2,F0202,1091364
2019,2,F0204,1113230
2019,2,F0206,239442
2019,2,F0207,493666
2019,2,F0210,423243
2019,2,F0212,1438383
2019,2,F0214,1222577
2019,2,F0215,979062
2019,2,F0216,1100173
2019,2,F0217,963243
2019,2,F0218,1045126
2019,2,F0232,841042
2019,2,F0233,619736
2019,2,F0306,2228659
2019,2,F0307,1677732
2019,2,F0311,1361501
2019,2,F0319,1559869
2019,2,F0320,903222
2019,2,F0321,995584
2019,2,F0328,1043858
2019,2,F0365,524784
2019,2,F0367,884174
2019,2,F0369,621773
2019,2,F0371,687460
2019,2,F0387,1152971
2019,2,F0469,2302043
2019,2,F0470,1707579
2019,2,T0270,163986
2019,3,F0033,3300258
2019,3,F0034,2835211
2019,3,F0089,5194382
2019,3,F0091,1682228
2019,3,F0094,2275637
2019,3,F0098,1677667
2019,3,F0099,2858505
2019,3,F0101,998768
2019,3,F0112,674044
2019,3,F0113,819348
2019,3,F0140,194077
2019,3,F0147,481127
2019,3,F0167,714854
2019,3,F0168,284829
2019,3,F0193,1042257
2019,3,F0194,1282081
2019,3,F0196,426140
2019,3,F0199,419229
2019,3,F0201,466461
2019,3,F0202,973878
2019,3,F0204,792921
2019,3,F0206,574482
2019,3,F0207,462775
2019,3,F0210,445362
2019,3,F0212,1360949
2019,3,F0214,1010993
2019,3,F0215,1695013
2019,3,F0216,977513
2019,3,F0217,1259869
2019,3,F0218,975221
2019,3,F0232,779962
2019,3,F0233,525354
2019,3,F0306,3526557
2019,3,F0307,2364424
2019,3,F0311,2937955
2019,3,F0319,1919250
2019,3,F0320,987190
2019,3,F0321,1440758
2019,3,F0328,1352502
2019,3,F0365,506852
2019,3,F0367,942544
2019,3,F0369,636477
2019,3,F0371,886434
2019,3,F0387,385316
2019,3,F0469,5476291
2019,3,F0470,2525307
2019,3,T0270,8406
2019,4,F0033,2517666
2019,4,F0034,4214405
2019,4,F0089,3990473
2019,4,F0091,1858279
2019,4,F0094,2376840
2019,4,F0098,1672130
2019,4,F0099,2680301
2019,4,F0101,737903
2019,4,F0112,457191
2019,4,F0113,601075
2019,4,F0140,27031
2019,4,F0147,353077
2019,4,F0167,639670
2019,4,F0168,302161
2019,4,F0193,793277
2019,4,F0194,1064598
2019,4,F0196,514719
2019,4,F0199,462229
2019,4,F0201,710442
2019,4,F0202,900469
2019,4,F0204,698967
2019,4,F0206,577676
2019,4,F0207,441753
2019,4,F0210,354971
2019,4,F0212,1530983
